Year,Month,State,Ocean_Region,SST_C,Chlorophyll_mg_m3,SST_anomaly_C,Chlorophyll_anomaly_mg_m3,Season
2007,8,Tamil Nadu,Bay of Bengal,27.73,1.264,0.22,0.056,Southwest_Monsoon
2007,8,West Bengal,Bay of Bengal,26.59,1.9,0.37,0.093,Southwest_Monsoon
2007,9,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.7,0.355,-0.04,-0.013,Southwest_Monsoon
2007,9,Andhra Pradesh,Bay of Bengal,26.96,1.06,0.13,-0.078,Southwest_Monsoon
2007,9,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,25.59,1.737,0.05,0.084,Southwest_Monsoon
2007,9,Goa,Arabian Sea,27.01,1.716,0.12,0.014,Southwest_Monsoon
2007,9,Gujarat,Arabian Sea / Gulf region,25.32,1.656,0.28,-0.055,Southwest_Monsoon
2007,9,Karnataka,Arabian Sea,26.41,1.704,-0.18,0.074,Southwest_Monsoon
2007,9,Kerala,Arabian Sea,26.96,1.983,-0.04,0.097,Southwest_Monsoon
2007,9,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.7,0.313,0.26,-0.083,Southwest_Monsoon
2007,9,Maharashtra,Arabian Sea,26.45,1.77,0.37,-0.026,Southwest_Monsoon
2007,9,Odisha,Bay of Bengal,26.79,1.414,0.48,-0.12,Southwest_Monsoon
2007,9,Puducherry,Bay of Bengal,27.5,1.231,0.17,-0.018,Southwest_Monsoon
2007,9,Tamil Nadu,Bay of Bengal,27.31,1.264,0.08,0.084,Southwest_Monsoon
2007,9,West Bengal,Bay of Bengal,25.93,1.655,0.2,-0.006,Southwest_Monsoon
2007,10,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.01,0.159,-0.03,-0.117,Post-monsoon
2007,10,Andhra Pradesh,Bay of Bengal,27.69,0.935,0.25,0.011,Post-monsoon
2007,10,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,26.78,1.517,0.24,0.208,Post-monsoon
2007,10,Goa,Arabian Sea,27.37,1.221,-0.03,-0.067,Post-monsoon
2007,10,Gujarat,Arabian Sea / Gulf region,26.38,1.441,0.18,0.018,Post-monsoon
2007,10,Karnataka,Arabian Sea,27.55,1.407,0.33,0.101,Post-monsoon
2007,10,Kerala,Arabian Sea,27.54,1.637,-0.18,0.137,Post-monsoon
2007,10,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.82,0.276,0.12,-0.037,Post-monsoon
2007,10,Maharashtra,Arabian Sea,27.12,1.301,0.14,-0.046,Post-monsoon
2007,10,Odisha,Bay of Bengal,27.31,1.111,0.34,-0.093,Post-monsoon
2007,10,Puducherry,Bay of Bengal,27.84,1.005,-0.14,-0.009,Post-monsoon
2007,10,Tamil Nadu,Bay of Bengal,27.82,0.984,0.01,0.091,Post-monsoon
2007,10,West Bengal,Bay of Bengal,26.64,1.284,0.08,-0.077,Post-monsoon
2007,11,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.27,0.182,0.05,-0.069,Post-monsoon
2007,11,Andhra Pradesh,Bay of Bengal,27.57,0.806,-0.08,0.034,Post-monsoon
2007,11,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,27.38,1.258,0.23,0.186,Post-monsoon
2007,11,Goa,Arabian Sea,27.87,1.023,0.18,-0.004,Post-monsoon
2007,11,Gujarat,Arabian Sea / Gulf region,26.85,1.164,0.22,0.052,Post-monsoon
2007,11,Karnataka,Arabian Sea,27.67,1.095,0.1,0.086,Post-monsoon
2007,11,Kerala,Arabian Sea,27.7,1.071,-0.06,-0.013,Post-monsoon
2007,11,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.07,0.265,0.23,0.001,Post-monsoon
2007,11,Maharashtra,Arabian Sea,27.59,0.99,0.31,-0.037,Post-monsoon
2007,11,Odisha,Bay of Bengal,27.33,0.899,0.16,-0.026,Post-monsoon
2007,11,Puducherry,Bay of Bengal,28.05,0.766,-0.0,-0.063,Post-monsoon
2007,11,Tamil Nadu,Bay of Bengal,28.04,0.576,0.04,-0.143,Post-monsoon
2007,11,West Bengal,Bay of Bengal,27.41,0.997,0.42,-0.055,Post-monsoon
2007,12,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.64,0.118,-0.07,-0.066,Winter
2007,12,Andhra Pradesh,Bay of Bengal,26.87,0.763,0.12,0.046,Winter
2007,12,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,25.4,1.306,0.03,0.245,Winter
2007,12,Goa,Arabian Sea,26.86,0.937,0.11,-0.094,Winter
2007,12,Gujarat,Arabian Sea / Gulf region,24.98,1.286,0.19,0.237,Winter
2007,12,Karnataka,Arabian Sea,26.82,0.885,0.23,-0.039,Winter
2007,12,Kerala,Arabian Sea,26.97,1.1,-0.09,0.024,Winter
2007,12,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.71,0.155,0.37,-0.103,Winter
2007,12,Maharashtra,Arabian Sea,26.12,1.011,0.01,-0.004,Winter
2007,12,Odisha,Bay of Bengal,26.55,0.765,0.37,-0.144,Winter
2007,12,Puducherry,Bay of Bengal,27.14,0.687,-0.11,-0.046,Winter
2007,12,Tamil Nadu,Bay of Bengal,27.23,0.697,0.1,-0.055,Winter
2007,12,West Bengal,Bay of Bengal,26.06,0.96,0.28,-0.019,Winter
2008,1,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.19,0.275,-0.28,0.028,Winter
2008,1,Andhra Pradesh,Bay of Bengal,26.26,0.771,-0.02,0.05,Winter
2008,1,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,23.95,0.922,-0.39,-0.081,Winter
2008,1,Goa,Arabian Sea,26.38,0.913,0.17,0.008,Winter
2008,1,Gujarat,Arabian Sea / Gulf region,23.67,1.026,-0.26,-0.053,Winter
2008,1,Karnataka,Arabian Sea,25.81,0.935,-0.23,0.079,Winter
2008,1,Kerala,Arabian Sea,26.07,1.064,-0.41,0.064,Winter
2008,1,Lakshadweep,Arabian Sea / Lakshadweep Sea,26.79,0.153,-0.25,-0.071,Winter
2008,1,Maharashtra,Arabian Sea,24.92,0.839,-0.36,-0.094,Winter
2008,1,Odisha,Bay of Bengal,25.46,0.832,-0.05,-0.008,Winter
2008,1,Puducherry,Bay of Bengal,26.89,0.717,0.02,-0.035,Winter
2008,1,Tamil Nadu,Bay of Bengal,26.46,0.678,-0.21,0.02,Winter
2008,1,West Bengal,Bay of Bengal,24.72,0.915,-0.33,-0.063,Winter
2008,2,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.81,0.23,-0.07,-0.029,Winter
2008,2,Andhra Pradesh,Bay of Bengal,27.31,0.672,0.36,-0.001,Winter
2008,2,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,25.62,0.848,-0.11,-0.12,Winter
2008,2,Goa,Arabian Sea,27.1,0.854,0.07,-0.081,Winter
2008,2,Gujarat,Arabian Sea / Gulf region,25.26,1.076,0.06,0.039,Winter
2008,2,Karnataka,Arabian Sea,26.44,0.801,-0.3,-0.109,Winter
2008,2,Kerala,Arabian Sea,27.2,1.057,-0.03,0.075,Winter
2008,2,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.36,0.363,-0.17,0.109,Winter
2008,2,Maharashtra,Arabian Sea,26.41,0.884,0.06,-0.106,Winter
2008,2,Odisha,Bay of Bengal,26.2,0.818,-0.24,-0.075,Winter
2008,2,Puducherry,Bay of Bengal,27.45,0.634,-0.02,-0.007,Winter
2008,2,Tamil Nadu,Bay of Bengal,26.88,0.67,-0.38,-0.0,Winter
2008,2,West Bengal,Bay of Bengal,25.8,0.859,-0.11,-0.079,Winter
2008,3,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.05,0.151,-0.46,-0.066,Pre-monsoon
2008,3,Andhra Pradesh,Bay of Bengal,28.13,0.704,-0.05,0.01,Pre-monsoon
2008,3,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,27.85,0.837,-0.16,-0.087,Pre-monsoon
2008,3,Goa,Arabian Sea,28.18,1.04,0.02,0.052,Pre-monsoon
2008,3,Gujarat,Arabian Sea / Gulf region,27.63,0.935,-0.16,-0.075,Pre-monsoon
2008,3,Karnataka,Arabian Sea,27.96,0.815,-0.01,-0.071,Pre-monsoon
2008,3,Kerala,Arabian Sea,28.25,1.174,0.01,0.144,Pre-monsoon
2008,3,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.07,0.209,-0.05,0.025,Pre-monsoon
2008,3,Maharashtra,Arabian Sea,27.96,0.989,-0.05,0.046,Pre-monsoon
2008,3,Odisha,Bay of Bengal,27.57,0.853,-0.31,0.019,Pre-monsoon
2008,3,Puducherry,Bay of Bengal,28.53,0.688,-0.06,-0.079,Pre-monsoon
2008,3,Tamil Nadu,Bay of Bengal,28.26,0.776,-0.21,0.092,Pre-monsoon
2008,3,West Bengal,Bay of Bengal,27.12,0.843,-0.59,-0.076,Pre-monsoon
2008,4,Andaman & Nicobar,Andaman Sea / Bay of Bengal,29.0,0.134,-0.3,-0.103,Pre-monsoon
2008,4,Andhra Pradesh,Bay of Bengal,29.43,0.591,-0.13,-0.068,Pre-monsoon
2008,4,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,30.49,0.779,-0.07,-0.12,Pre-monsoon
2008,4,Goa,Arabian Sea,29.52,0.916,-0.08,-0.048,Pre-monsoon
2008,4,Gujarat,Arabian Sea / Gulf region,30.29,0.889,-0.28,-0.034,Pre-monsoon
2008,4,Karnataka,Arabian Sea,29.47,0.817,-0.08,-0.084,Pre-monsoon
2008,4,Kerala,Arabian Sea,29.45,1.028,-0.24,-0.011,Pre-monsoon
2008,4,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.56,0.136,-0.39,-0.05,Pre-monsoon
2008,4,Maharashtra,Arabian Sea,30.04,1.014,0.14,0.064,Pre-monsoon
2008,4,Odisha,Bay of Bengal,29.52,0.799,-0.25,0.013,Pre-monsoon
2008,4,Puducherry,Bay of Bengal,29.86,0.698,-0.06,-0.054,Pre-monsoon
2008,4,Tamil Nadu,Bay of Bengal,29.71,0.608,-0.06,0.019,Pre-monsoon
2008,4,West Bengal,Bay of Bengal,29.58,0.911,-0.13,-0.0,Pre-monsoon
2008,5,Andaman & Nicobar,Andaman Sea / Bay of Bengal,29.71,0.08,0.16,-0.155,Pre-monsoon
2008,5,Andhra Pradesh,Bay of Bengal,30.51,0.907,0.11,0.115,Pre-monsoon
2008,5,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,31.66,1.043,-0.29,-0.022,Pre-monsoon
2008,5,Goa,Arabian Sea,30.23,1.151,-0.24,-0.012,Pre-monsoon
2008,5,Gujarat,Arabian Sea / Gulf region,31.98,1.078,-0.14,0.048,Pre-monsoon
2008,5,Karnataka,Arabian Sea,30.28,0.96,-0.21,-0.123,Pre-monsoon
2008,5,Kerala,Arabian Sea,30.2,1.34,-0.08,0.042,Pre-monsoon
2008,5,Lakshadweep,Arabian Sea / Lakshadweep Sea,29.53,0.253,-0.07,0.076,Pre-monsoon
2008,5,Maharashtra,Arabian Sea,31.07,1.089,0.05,-0.111,Pre-monsoon
2008,5,Odisha,Bay of Bengal,30.27,0.887,-0.38,-0.066,Pre-monsoon
2008,5,Puducherry,Bay of Bengal,30.27,0.797,-0.3,-0.038,Pre-monsoon
2008,5,Tamil Nadu,Bay of Bengal,30.47,0.91,-0.12,0.126,Pre-monsoon
2008,5,West Bengal,Bay of Bengal,30.28,1.083,-0.39,-0.036,Pre-monsoon
2008,6,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.88,0.404,-0.28,0.033,Southwest_Monsoon
2008,6,Andhra Pradesh,Bay of Bengal,29.36,1.017,-0.07,0.044,Southwest_Monsoon
2008,6,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,30.31,1.291,-0.18,-0.048,Southwest_Monsoon
2008,6,Goa,Arabian Sea,29.72,1.645,0.12,0.124,Southwest_Monsoon
2008,6,Gujarat,Arabian Sea / Gulf region,30.36,1.298,-0.15,-0.066,Southwest_Monsoon
2008,6,Karnataka,Arabian Sea,29.4,1.402,-0.11,-0.032,Southwest_Monsoon
2008,6,Kerala,Arabian Sea,29.26,1.881,-0.23,0.165,Southwest_Monsoon
2008,6,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.82,0.157,-0.28,-0.081,Southwest_Monsoon
2008,6,Maharashtra,Arabian Sea,29.53,1.356,-0.24,-0.2,Southwest_Monsoon
2008,6,Odisha,Bay of Bengal,29.18,1.298,-0.41,-0.01,Southwest_Monsoon
2008,6,Puducherry,Bay of Bengal,29.62,1.067,-0.21,-0.078,Southwest_Monsoon
2008,6,Tamil Nadu,Bay of Bengal,29.47,0.939,-0.31,-0.082,Southwest_Monsoon
2008,6,West Bengal,Bay of Bengal,29.41,1.426,-0.12,-0.028,Southwest_Monsoon
2008,7,Andaman & Nicobar,Andaman Sea / Bay of Bengal,28.17,0.357,-0.24,-0.046,Southwest_Monsoon
2008,7,Andhra Pradesh,Bay of Bengal,28.0,1.113,-0.07,-0.049,Southwest_Monsoon
2008,7,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,27.39,1.634,-0.25,-0.1,Southwest_Monsoon
2008,7,Goa,Arabian Sea,27.82,1.737,-0.3,0.045,Southwest_Monsoon
2008,7,Gujarat,Arabian Sea / Gulf region,27.35,1.651,-0.05,-0.07,Southwest_Monsoon
2008,7,Karnataka,Arabian Sea,28.04,1.674,0.14,-0.054,Southwest_Monsoon
2008,7,Kerala,Arabian Sea,28.25,1.942,0.19,-0.033,Southwest_Monsoon
2008,7,Lakshadweep,Arabian Sea / Lakshadweep Sea,28.18,0.343,0.09,-0.029,Southwest_Monsoon
2008,7,Maharashtra,Arabian Sea,27.76,1.84,-0.03,0.008,Southwest_Monsoon
2008,7,Odisha,Bay of Bengal,27.7,1.539,0.07,-0.009,Southwest_Monsoon
2008,7,Puducherry,Bay of Bengal,28.43,1.116,-0.08,-0.131,Southwest_Monsoon
2008,7,Tamil Nadu,Bay of Bengal,27.94,1.277,-0.3,0.069,Southwest_Monsoon
2008,7,West Bengal,Bay of Bengal,27.6,1.694,0.11,-0.098,Southwest_Monsoon
2008,8,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.9,0.407,-0.1,-0.035,Southwest_Monsoon
2008,8,Andhra Pradesh,Bay of Bengal,26.98,1.239,-0.1,-0.022,Southwest_Monsoon
2008,8,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,26.17,1.835,0.07,-0.066,Southwest_Monsoon
2008,8,Goa,Arabian Sea,27.26,1.74,0.16,-0.118,Southwest_Monsoon
2008,8,Gujarat,Arabian Sea / Gulf region,25.65,1.816,0.08,-0.024,Southwest_Monsoon
2008,8,Karnataka,Arabian Sea,27.19,1.788,0.15,0.016,Southwest_Monsoon
2008,8,Kerala,Arabian Sea,27.23,2.091,-0.09,0.041,Southwest_Monsoon
2008,8,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.37,0.374,-0.16,-0.028,Southwest_Monsoon
2008,8,Maharashtra,Arabian Sea,26.58,1.95,-0.16,0.024,Southwest_Monsoon
2008,8,Odisha,Bay of Bengal,26.51,1.453,-0.23,-0.142,Southwest_Monsoon
2008,8,Puducherry,Bay of Bengal,27.41,1.214,-0.14,-0.123,Southwest_Monsoon
2008,8,Tamil Nadu,Bay of Bengal,27.06,1.32,-0.45,0.112,Southwest_Monsoon
2008,8,West Bengal,Bay of Bengal,25.97,1.594,-0.25,-0.213,Southwest_Monsoon
2008,9,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.27,0.309,-0.47,-0.059,Southwest_Monsoon
2008,9,Andhra Pradesh,Bay of Bengal,26.78,1.129,-0.05,-0.009,Southwest_Monsoon
2008,9,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,25.38,1.597,-0.16,-0.056,Southwest_Monsoon
2008,9,Goa,Arabian Sea,26.75,1.697,-0.14,-0.005,Southwest_Monsoon
2008,9,Gujarat,Arabian Sea / Gulf region,25.15,1.627,0.11,-0.084,Southwest_Monsoon
2008,9,Karnataka,Arabian Sea,26.35,1.637,-0.24,0.007,Southwest_Monsoon
2008,9,Kerala,Arabian Sea,27.09,1.87,0.09,-0.016,Southwest_Monsoon
2008,9,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.28,0.436,-0.16,0.04,Southwest_Monsoon
2008,9,Maharashtra,Arabian Sea,25.94,1.807,-0.14,0.011,Southwest_Monsoon
2008,9,Odisha,Bay of Bengal,26.25,1.434,-0.06,-0.1,Southwest_Monsoon
2008,9,Puducherry,Bay of Bengal,27.13,1.204,-0.2,-0.045,Southwest_Monsoon
2008,9,Tamil Nadu,Bay of Bengal,27.22,1.008,-0.01,-0.172,Southwest_Monsoon
2008,9,West Bengal,Bay of Bengal,25.56,1.586,-0.17,-0.075,Southwest_Monsoon
2008,10,Andaman & Nicobar,Andaman Sea / Bay of Bengal,27.56,0.19,-0.48,-0.086,Post-monsoon
2008,10,Andhra Pradesh,Bay of Bengal,27.39,0.829,-0.05,-0.095,Post-monsoon
2008,10,Daman & Diu,Arabian Sea / Gulf of Khambhat influence,26.32,1.106,-0.22,-0.203,Post-monsoon
2008,10,Goa,Arabian Sea,27.41,1.28,0.01,-0.008,Post-monsoon
2008,10,Gujarat,Arabian Sea / Gulf region,26.16,1.37,-0.04,-0.053,Post-monsoon
2008,10,Karnataka,Arabian Sea,26.94,1.19,-0.28,-0.116,Post-monsoon
2008,10,Kerala,Arabian Sea,27.51,1.542,-0.21,0.042,Post-monsoon
2008,10,Lakshadweep,Arabian Sea / Lakshadweep Sea,27.75,0.366,0.05,0.053,Post-monsoon
2008,10,Maharashtra,Arabian Sea,26.94,1.341,-0.04,-0.006,Post-monsoon
2008,10,Odisha,Bay of Bengal,26.64,1.193,-0.33,-0.011,Post-monsoon
